Idle condition ::
Set and measured temp is 25 degrees;
=====================================

PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:01:51.389 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.409 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.413 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.429 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.450 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.454 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.469 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.489 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.493 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.509 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.530 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.533 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.549 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.570 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.574 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.589 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.624 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 32 0c 03 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 32 00 00 00 1e 00 00 e9 7e
00:01:51.629 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.633 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.649 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.670 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.674 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.689 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:01:51.709 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:01:51.713 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:01:51.729 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
