Date : 21/4/25
Set Temp : 35 degree
Measured temp : 24.5 degree

Started getting logs and then gave stimulus to the sensors;
It went upto 33 degrees
Redused set temp to 33 degrees

PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:05:38.682 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.703 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.707 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.722 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.743 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.747 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.762 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.783 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.787 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.803 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.823 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.827 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.845 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.863 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.866 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.882 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.903 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.907 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.923 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:38.958 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 0a 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 46 00 00 00 1e 00 00 d0 7e
00:05:38.963 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:38.967 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:05:38.983 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:05:39.003 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:05:39.007 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
