Date : 21/4/25

Set Temp 30 degree
measured temp is 24

started logs and then gave stimulus;
Temp reached to 31 degrees, relay sound came; stoped logs; 


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:10:03.171 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.192 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.196 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.212 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.232 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.236 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.252 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.272 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.276 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.307 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 30 0c 1a 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 e7 7e
00:10:03.312 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.331 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.335 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.352 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.373 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.376 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.392 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.412 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.415 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.432 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.453 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.456 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.472 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.493 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.496 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.512 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.533 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.536 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.552 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.573 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.576 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.607 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 30 0c 1a 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 e7 7e
00:10:03.612 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.633 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.636 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.652 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.673 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.676 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.695 V: [rs485]: Received: 10 - 7e 05 fe bf 00 ac 7e
00:10:03.712 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:10:03.733 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:10:03.736 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:10:03.752 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:10:03.772 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:10:03.776 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:10:03.792 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:10:03.813 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:10:03.817 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:10:03.832 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:10:03.853 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:10:03.857 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:10:03.872 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:10:03.907 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 30 0c 1a 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 e7 7e
00:10:03.907 V: [rs485]: Set SPA id 0x0A
00:10:03.909 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:10:03.909 V: [rs485]: Sent Existing Client Response
00:10:03.913 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.917 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.932 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.953 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.957 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:03.972 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:03.993 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:03.997 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:04.012 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:04.033 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:04.037 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:10:04.053 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:10:04.073 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:10:04.077 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
