Set temp : 24.5 degrees;
Current measured temp : 24.5 degrees;
Started getting logs and then increased set temperature to 30 degrees;
No stimulas applied to the sensor;
=========================================================================


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:07:02.885 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:02.889 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:02.904 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:02.925 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:02.929 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:02.944 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:02.965 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:02.969 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:02.984 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:03.005 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:03.009 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:03.028 V: [rs485]: Received: 10 - 7e 05 fe bf 00 ac 7e
00:07:03.044 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:07:03.079 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 0a 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 31 00 00 00 1e 00 00 f4 7e
00:07:03.080 V: [rs485]: Set SPA id 0x0A
00:07:03.081 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:07:03.081 V: [rs485]: Sent Existing Client Response
00:07:03.104 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:03.125 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:03.128 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:03.144 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:03.164 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:03.168 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:07:03.184 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:07:03.205 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:07:03.208 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
