Set temp 30 degree;
Measured 24.5 degree;
Waited for long time while capturing the previous logs. No stimulus applied at that time;
Started getting logs and then applied stimulus just after that;
Temprature went as high as upto 50 and machine gave error message as The heater is too hot.


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:40:36.937 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:36.938 V: [rs485]: Set SPA id 0x0A
00:40:36.939 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:40:36.940 V: [rs485]: Sent Existing Client Response
00:40:36.942 W: [rs485]: Invalid message, corrupted length/broadcast flag: 7e 05 0a ff
00:40:36.963 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:36.966 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:36.982 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.002 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.005 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.021 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.043 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.046 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.061 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.082 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.086 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.101 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.122 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.126 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.141 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.162 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.166 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:37.181 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:37.202 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:37.206 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
